Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
506076,Grindwell Norton Ltd.,GRINDWELL,GRINDWELL NORTON LTD.-$,Active,A ,5.00,INE536A01023,Abrasives & Bearings,Equity,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
506285,Bayer CropScience Limited.,BAYERCROP,BAYER CROPSCIENCE LTD.,Active,A ,10.00,INE462A01022,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
506395,Coromandel International Limited,COROMANDEL,COROMANDEL INTERNATIONAL LTD.,Active,A ,1.00,INE169A01031,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
506401,Deepak Nitrite Limited,DEEPAKNTR,DEEPAK NITRITE LTD.-$,Active,A ,2.00,INE288B01029,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
506590,PCBL LIMITED,PCBL,PCBL Ltd,Active,A ,1.00,INE602A01031,Carbon Black,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black
506655,Sudarshan Chemical Indus. Ltd.,SUDARSCHEM,SUDARSHAN CHEMICAL INDUSTRIES LTD.,Active,A ,2.00,INE659A01023,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
506690,Unichem Laboratories Ltd.,UNICHEMLAB,UNICHEM LABORATORIES LTD.,Active,A ,2.00,INE351A01035,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506767,Alkyl Amines Chemicals Ltd.,ALKYLAMINE,ALKYL AMINES CHEMICALS LTD.-$,Active,A ,2.00,INE150B01039,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
506820,AstraZeneca Pharma India Ltd.,ASTRAZEN,ASTRAZENECA PHARMA INDIA LTD.,Active,A ,2.00,INE203A01020,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
506943,J.B. Chemicals & Pharmaceuticals Lt,JBCHEPHARM,J.B.CHEMICALS & PHARMACEUTICALS LTD.,Active,A ,1.00,INE572A01036,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
507205,Tilaknagar Industries Ltd,TI,TILAKNAGAR INDUSTRIES LTD.-$,Active,A ,10.00,INE133E01013,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
507514,Som Distilleries & Breweries Ltd.,SDBL,SOM DISTILLERIES & BREWERIES LTD.,Active,A ,2.00,INE480C01038,Breweries & Distilleries,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
507685,Wipro  Ltd.,WIPRO,WIPRO LTD.,Active,A ,2.00,INE075A01022,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
507815,Gillette India Ltd.,GILLETTE,GILLETTE INDIA LTD.,Active,A ,10.00,INE322A01010,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
507880,V.I.P. Industries Ltd.,VIPIND,V.I.P.INDUSTRIES LTD.-$,Active,A ,2.00,INE054A01027,Plastic Products - Consumer,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer
508869,Apollo Hospitals Enterprises Ltd.,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD.,Active,A ,5.00,INE437A01024,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital
509243,TVS Srichakra Ltd.,TVSSRICHAK,TVS SRICHAKRA LTD.-$,Active,A ,10.00,INE421C01016,Tyres & Rubber Products,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
509480,Berger Paints India Ltd,BERGEPAINT,BERGER PAINTS INDIA LTD.,Active,A ,1.00,INE463A01038,Paints,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
509488,Graphite India Ltd.,GRAPHITE,GRAPHITE INDIA LTD.,Active,A ,2.00,INE371A01025,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
509496,ITD Cementation India Ltd,ITDCEM,ITD CEMENTATION INDIA LTD.,Active,A ,1.00,INE686A01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
509557,GARWARE TECHNICAL FIBRES LIMITED,GARFIBRES,Garware Technical Fibres Ltd,Active,A ,10.00,INE276A01018,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
509631,HEG Ltd.,HEG,HEG LTD.,Active,A ,10.00,INE545A01016,Electrodes & Refractories,Equity,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories
509930,Supreme Industries Ltd.,SUPREMEIND,SUPREME INDUSTRIES LTD.,Active,A ,2.00,INE195A01028,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
509966,VST Industries Ltd.,VSTIND,VST INDUSTRIES LTD.,Active,A ,10.00,INE710A01016,Cigarettes & Tobacco Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
511196,Can Fin Homes Ltd.,CANFINHOME,CAN FIN HOMES LTD.,Active,A ,2.00,INE477A01020,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
511218,Shriram Finance Limited,SHRIRAMFIN,Shriram Finance Ltd,Active,A ,10.00,INE721A01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd,Active,A ,2.00,INE121A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
511431,Vakrangee Limited,VAKRANGEE,Vakrangee Limited-$,Active,A ,1.00,INE051B01021,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
512070,UPL Limited,UPL,UPL Limited,Active,A ,2.00,INE628A01036,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
512179,Sunteck Realty Ltd,SUNTECK,SUNTECK REALTY LTD.,Active,A ,1.00,INE805D01034,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
