Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
543952,NIIT Learning Systems Limited,NIITMTS,NIIT Learning Systems Ltd,Active,B ,2.00,INE342G01023,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
543954,Allcargo Terminals Limited,ATL,Allcargo Terminals Ltd,Active,B ,2.00,INE0NN701020,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services
543955,Transindia Real Estate Limited,TREL,Transindia Real Estate Ltd,Active,B ,2.00,INE0O3901029,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543956,ICICI Prudential Mutual Fund,QUAL30IETF,ICICI Prudential Nifty 200 Quality 30 ETF,Active,B ,1.00,INF109KC18V5, ,Equity,-,-,-,-
543957,REDTAPE Limited,REDTAPE,Redtape Ltd,Active,B ,2.00,INE0LXT01019,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
543958,VL E-Governance & IT Solutions Limited,VLEGOV,VL E-Governance & IT Solutions Ltd,Active,B ,10.00,INE03HW01020,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
543959,SBFC Finance Limited,SBFC,SBFC Finance Ltd,Active,B ,10.00,INE423Y01016,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
543960,Concord Biotech Limited,CONCORDBIO,Concord Biotech Ltd,Active,B ,1.00,INE338H01029,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
543962,D.P. WIRES LIMITED,DPWIRES,D.P. Wires Ltd,Active,B ,10.00,INE864X01013,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
543965,TVS Supply Chain Solutions Limited,TVSSCS,TVS Supply Chain Solutions Ltd,Active,B ,1.00,INE395N01027,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider
543969,Pyramid Technoplast Limited,PYRAMID,Pyramid Technoplast Ltd,Active,B ,10.00,INE0MIS01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
543972,Aeroflex Industries Limited,AEROFLEX,Aeroflex Industries Ltd,Active,B ,2.00,INE024001021,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
543974,VISHNU PRAKASH R PUNGLIA LIMITED,VPRPL,Vishnu Prakash R Punglia Ltd,Active,B ,10.00,INE0AE001013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
543975,UTI Mutual Fund,NIFMID150,UTI NIFTY MIDCAP 150 ETF,Active,B ,10.00,INF789F1AYX9, ,Equity,-,-,-,-
543977,Rishabh Instruments Limited,RISHABH,Rishabh Instruments Ltd,Active,B ,10.00,INE0N2P01017,Other Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
543978,Ratnaveer Precision Engineering Limited,RATNAVEER,Ratnaveer Precision Engineering Ltd,Active,B ,10.00,INE05CZ01011,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
